JobID,DateTime,LabelColumn,ModelTrainingTime,Description,ColumnRemoved,Algorithm,Seed,Iterations,MaxBinNumber,LearningRate,GeometricMean,MCCMetric,F1ScoreMetric,AucPrecisionRecallMetric,PositivePrecisionMetric,PositiveRecallMetric,NegativePrecisionMetric,NegativeRecallMetric
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,56.97,Removed: YearsPlayed,YearsPlayed,Gam,100,22192,567,0.0017,0.6808,0.7844,0.698,0.7761,0.793,0.6245,0.9674,0.9855
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.24,Removed: AB,AB,Gam,100,22192,567,0.0017,0.6875,0.7964,0.7064,0.7946,0.7832,0.6451,0.969,0.9841
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.23,Removed: R,R,Gam,100,22192,567,0.0017,0.6925,0.7996,0.7111,0.7967,0.7874,0.6499,0.9695,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.39,Removed: H,H,Gam,100,22192,567,0.0017,0.6896,0.7965,0.7081,0.7956,0.7874,0.6448,0.969,0.9845
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.91,Removed: Doubles,Doubles,Gam,100,22192,567,0.0017,0.693,0.8022,0.7122,0.7938,0.7834,0.6546,0.9698,0.9839
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.22,Removed: Triples,Triples,Gam,100,22192,567,0.0017,0.6929,0.7963,0.7105,0.7942,0.7951,0.644,0.969,0.9851
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.27,Removed: HR,HR,Gam,100,22192,567,0.0017,0.6846,0.7928,0.7033,0.7938,0.7842,0.6391,0.9685,0.9844
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.37,Removed: RBI,RBI,Gam,100,22192,567,0.0017,0.6959,0.8032,0.7148,0.7947,0.7873,0.6559,0.97,0.9842
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.71,Removed: SB,SB,Gam,100,22192,567,0.0017,0.6927,0.798,0.7108,0.7966,0.7911,0.6473,0.9692,0.9847
bb1dd7f1-0804-441b-9c13-9493c22caee6,5/9/2020 12:13:45 AM,OnHallOfFameBallot,55.83,Removed: BattingAverage,BattingAverage,Gam,100,22192,567,0.0017,0.686,0.7951,0.7049,0.796,0.7825,0.6431,0.9689,0.9841
